roundNumber,player1,player2,bracketPosition
1,Terence Atmane,Grigor Dimitrov,1
1,Juan Manuel Cerundolo,Botic van de Zandschulp,2
1,Nuno Borges,Emilio Nava,3
1,Alexander Shevchenko,Qualifier 1,4
1,Michael Zheng,Arthur Cazaux,5
1,Qualifier 2,Qualifier 3,6
1,Matteo Arnaldi,Qualifier 4,7
1,Sebastian Korda,Francisco Comesana,8
1,Kamil Majchrzak,Giovanni Mpetshi Perricard,9
1,Hubert Hurkacz,Aleksandar Kovacevic,10
1,Valentin Royer,Qualifier 5,11
1,Fabian Marozsan,Roberto Bautista Agut,12
1,Alejandro Tabilo,Rafael Jodar,13
1,Qualifier 6,Sebastian Baez,14
1,Qualifier 7,Alex Michelsen,15
1,Jacob Fearnley,Damir Dzumhur,16
1,Marton Fucsovics,Qualifier 8,17
1,Qualifier 9,Qualifier 10,18
1,Mattia Bellucci,Gabriel Diallo,19
1,Gael Monfils,Qualifier 11,20
1,Daniel Altmaier,Miomir Kecmanovic,21
1,Jenson Brooksby,Alexei Popyrin,22
1,Camilo Ugo Carabelli,Martin Damm,23
1,Matteo Berrettini,Adrian Mannarino,24
1,Reilly Opelka,Ethan Quinn,25
1,Quentin Halys,Adam Walton,26
1,Zachary Svajda,Marin Cilic,27
1,Mariano Navone,Marcos Giron,28
1,Joao Fonseca,Raphael Collignon,29
1,Zizou Bergs,Jan-Lennard Struff,30
1,Stefanos Tsitsipas,Denis Shapovalov,31
1,Qualifier 12,James Duckworth,32
