name,seed,country
Aryna Sabalenka,1,BLR
Iga Swiatek,2,POL
Elena Rybakina,3,KAZ
Coco Gauff,4,USA
Jessica Pegula,5,USA
Amanda Anisimova,6,USA
Jasmine Paolini,7,ITA
Mirra Andreeva,8,RUS
Elina Svitolina,9,UKR
Victoria Mboko,10,CAN
Ekaterina Alexandrova,11,RUS
Belinda Bencic,12,SUI
Karolina Muchova,13,CZE
Linda Noskova,14,CZE
Madison Keys,15,USA
Naomi Osaka,16,JPN
Clara Tauson,17,DEN
Iva Jovic,18,USA
Liudmila Samsonova,19,RUS
Diana Shnaider,20,RUS
Elise Mertens,21,BEL
Anna Kalinskaya,22,RUS
Qinwen Zheng,23,CHN
Emma Raducanu,24,GBR
Emma Navarro,25,USA
Jelena Ostapenko,26,LAT
Leylah Fernandez,27,CAN
Marta Kostyuk,28,UKR
Maya Joint,29,AUS
Xinyu Wang,30,CHN
Alexandra Eala,31,PHI
Marie Bouzkova,32,CZE
Alycia Parks,,USA
Jaqueline Cristian,,ROU
Janice Tjen,,INA
Sloane Stephens,,USA
Camila Osorio,,COL
Eva Lys,,GER
Caty McNally,,USA
Kimberly Birrell,,AUS
Oksana Selekhmeteva,,RUS
Zeynep Sonmez,,TUR
McCartney Kessler,,USA
Eva Seidel,,GER
Anna Blinkova,,RUS
Bianca Andreescu,,CAN
Dayana Yastremska,,UKR
Venus Williams,,USA
Donna Vekic,,CRO
Jennifer Brady,,USA
Katie Volynets,,USA
Lilli Tagger,,AUT
Paula Badosa,,ESP
Yulia Putintseva,,KAZ
Cristina Bucsa,,ESP
Varvara Gracheva,,RUS
Hailey Baptiste,,USA
Emerson Jones,,AUS
Maria Sakkari,,GRE
Qualifier 1,,,
Qualifier 2,,,
Qualifier 3,,,
Qualifier 4,,,
Qualifier 5,,,
Qualifier 6,,,
Qualifier 7,,,
Qualifier 8,,,
Qualifier 9,,,
Qualifier 10,,,
Qualifier 11,,,
Qualifier 12,,,
Qualifier 13,,,
Qualifier 14,,,
Qualifier 15,,,
Qualifier 16,,,
Qualifier 17,,,
Qualifier 18,,,
Qualifier 19,,,
Qualifier 20,,,
Qualifier 21,,,
Qualifier 22,,,
Qualifier 23,,,
Qualifier 24,,,
Qualifier 25,,,
Qualifier 26,,,
Qualifier 27,,,
Qualifier 28,,,
Qualifier 29,,,
Qualifier 30,,,
Qualifier 31,,,
Qualifier 32,,,
Qualifier 33,,,
Qualifier 34,,,
Qualifier 35,,,
Qualifier 36,,,
Qualifier 37,,,
